رقم الحديث;طرف الحديث;اسم الصحابي الراوي;تخريج الحديث;درجة الحديث
1;إنا نركب البحر ونحمل معنا القليل من الماء فإن توضأنا به عطشنا أفنتوضأ بماء البحر؟;أبو هريرة;أحمد (2/361، 378)، وأبو داود (83)، والترمذي (69)، والنسائي (1/50، 176)، وابن ماجه (386)، وابن الجارود (43);صحيح
2;رأيت رسول الله ﷺ وحانت صلاة العصر فالتمس الناس الوضوء فلم يجدوا;أنس بن مالك;البخاري (1/54)، ومسلم (7/59)، وأحمد (3/223، 327);متفق عليه
3;جاء رسول الله ﷺ يعودني وأنا مريض لا أعقل فتوضأ وصب عليّ وضوءه;جابر بن عبد الله;البخاري (1/60/1)، ومسلم (1/162)، وأحمد (3/307، 373);متفق عليه
4;في حديث صلح الحديبية من رواية المسور بن مخرمة ومروان بن الحكم: ما تنخم رسول الله ﷺ نخامة إلا وقعت في كف رجل منهم فدلكه بها وجهه وجلده;المسور بن مخرمة ومروان بن الحكم;أحمد (4/323)، والبخاري (3/253/4)، وأبو داود (2765);صحيح
5;أن رسول الله ﷺ لقيه وهو جنب فحاد عنه فاغتسل ثم جاء فقال: كنت جنبا قال: إن المسلم لا ينجس;حذيفة بن اليمان;البخاري (1/54)، والترمذي (121)، والنسائي (1/145);صحيح
6;لا يغتسلن أحدكم في الماء الدائم وهو جنب;أبو هريرة;البخاري (1/49)، ومسلم (1/162)، وأبو داود (70)، وابن ماجه (605);متفق عليه
7;لا يبولن أحدكم في الماء الدائم الذي لا يجري ثم يغتسل فيه;أبو هريرة;البخاري (1/49)، ومسلم (1/162)، وأبو داود (69)، وابن ماجه (343);متفق عليه
8;توضأ لنا وضوء رسول الله ﷺ فأكفأ من إناء وضع تحت يده فغسل يديه ثلاثاً...;عبد الله بن زيد بن عاصم;البخاري (1/36)، ومسلم (1/67);متفق عليه
9;نهى رسول الله ﷺ أن يتوضأ الرجل بفضل طهور المرأة;الحكم بن عمرو الغفاري;أحمد (4/213)، وأبو داود (82)، والترمذي (64)، والنسائي (1/90، 179);صحيح
10;أن رسول الله ﷺ كان يغتسل بفضل ميمونة;ابن عباس;أحمد (1/245)، ومسلم (1/137);صحيح
11;عن ميمونة، عن مسلم، أن النبي ﷺ توضأ بفضلها من الجنابة;ميمونة;أحمد (6/330)، وابن ماجه (372);حسن
12;اغتسل بعض أزواج النبي ﷺ في جفنة فجاء النبي ﷺ ليغتسل منها أو يتوضأ فقالت له: إني كنت جنبا فقال: إن الماء لا يجنب;ابن عباس;أحمد (1/235)، وأبو داود (68)، والترمذي (65)، والنسائي (1/130);صحيح
13;يا رسول الله، أتتوضأ من بئر بضاعة وهي بئر يلقى فيها الحيض ولحوم الكلاب والنتن؟ فقال: الماء طهور لا ينجسه شيء;أبو سعيد الخدري;أحمد (3/31)، وأبو داود (66)، والترمذي (66)، والنسائي (1/174)، وابن ماجه (521);حسن صحيح
14;سمعت رسول الله ﷺ وهو يُسأل عن الماء يكون في الفلاة من الأرض وما ينوبه من السباع والدواب فقال: إذا كان الماء قلتين لم يحمل الخبث;عبد الله بن عمر بن الخطاب;أحمد (2/12)، وأبو داود (63)، والترمذي (67)، والنسائي (1/175)، وابن ماجه (517);صحيح
15;أن رسول الله ﷺ قال: لا يبولن أحدكم في الماء الدائم الذي لا يجري ثم يغتسل منه;أبو هريرة;البخاري (1/68)، ومسلم (1/162)، وأحمد (2/259، 394);متفق عليه
16;إذا ولغ الكلب في إناء أحدكم فليرقه وليغسله سبع مرار;أبو هريرة;مسلم (1/161)، والنسائي (1/53);صحيح
17;أن أبا قتادة دخل تحت ابن أبي قتادة وكانت تحت ابن مالك فسكبت له وضوء...;كبشة بنت كعب بن مالك;أبو داود (75)، والترمذي (92)، والنسائي (1/178)، وابن ماجه (367);حسن صحيح
18;أنه كان يُصغي إلى الهرة الإناء حتى تشرب ثم يتوضأ بفضلها;عائشة;الدارقطني (1/67);ضعيف
